Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,StressGT,GT
9:38:23,50,0,50,0,0,0,100,0,92.44,0
9:38:23,50,0,50,0,0,0,100,0,78.2,0
9:38:23,50,12.5,37.5,0,0,0,100,0,98.11,0
9:38:23,50,25,25,0,0,0,100,0,88.13,0
9:38:23,50,25,25,0,0,0,100,0,79.42,0
9:38:23,50,12.5,37.5,0,0,0,100,0,79.16,0
9:38:23,37.5,50,12.5,0,0,0,100,0,90.61,0
9:38:23,50,0,50,0,0,0,100,0,94.93,0
9:38:23,50,12.5,37.5,0,0,0,100,0,87.35,0
9:38:23,50,37.5,12.5,0,0,0,100,0,80.7,0
9:38:23,50,12.5,37.5,0,0,0,100,0,95.61,0
9:38:23,50,50,0,0,0,0,100,0,87.71,0
9:38:23,50,0,50,0,0,0,100,0,86.46,0
9:38:23,50,0,50,0,0,0,100,0,95.13,0
9:38:23,50,25,25,0,0,0,100,0,86.88,0
9:38:23,50,25,25,0,0,0,100,0,86.7,0
9:38:23,50,12.5,37.5,0,0,0,100,0,87.47,0
9:38:23,50,0,37.5,12.5,0,0,100,0,95.28,0
9:38:23,50,12.5,37.5,0,0,0,87.5,12.5,88.04,0
9:38:23,50,0,50,0,0,0,100,0,88.62,0
9:38:23,50,50,0,0,0,0,87.5,12.5,84.9,0
9:38:23,50,37.5,12.5,0,0,0,75,25,87.38,0
9:38:23,50,37.5,12.5,0,0,0,100,0,97.12,0
9:38:23,37.5,12.5,50,0,0,0,87.5,12.5,91.55,0
9:38:23,37.5,12.5,50,0,0,0,100,0,85.08,0
9:38:23,50,50,0,0,0,0,87.5,12.5,79.37,0
9:38:23,50,0,50,0,0,0,100,0,78.23,0
9:38:23,50,25,25,0,0,0,100,0,84.13,0
9:38:24,37.5,37.5,25,0,0,0,100,0,86.81,0
9:38:24,50,50,0,0,0,0,87.5,12.5,92.07,0
9:38:24,50,50,0,0,0,0,100,0,86.26,0
9:38:24,50,25,25,0,0,0,87.5,12.5,86.31,0
9:38:24,50,50,0,0,0,0,87.5,12.5,92.66,0
9:38:24,50,50,0,0,0,0,100,0,94.47,0
9:38:24,50,25,25,0,0,0,100,0,83.88,0
9:38:24,50,50,0,0,0,0,87.5,12.5,90.59,0
9:38:24,50,37.5,12.5,0,0,0,100,0,84.58,0
9:38:24,50,50,0,0,0,0,100,0,99.64,0
9:38:24,50,37.5,12.5,0,0,0,87.5,12.5,97,0
9:38:24,50,37.5,12.5,0,0,0,87.5,12.5,91.94,0
9:38:24,50,0,50,0,0,0,100,0,95.48,0
9:38:24,50,0,50,0,0,0,100,0,94.31,0
9:38:24,50,12.5,37.5,0,0,0,100,0,96.17,0
9:38:24,50,0,50,0,0,0,100,0,86.01,0
9:38:24,50,37.5,12.5,0,0,0,100,0,91.67,0
9:38:24,50,25,25,0,0,0,75,25,78.46,0
9:38:24,37.5,12.5,50,0,0,0,100,0,90.93,0
9:38:24,50,0,50,0,0,0,100,0,91.8,0
9:38:24,37.5,12.5,50,0,0,0,100,0,86.26,0
9:38:24,50,0,25,25,0,0,87.5,12.5,81.45,0
9:38:24,50,0,37.5,12.5,0,0,100,0,95.54,0
9:38:24,50,0,37.5,12.5,0,0,87.5,12.5,79.65,0
9:38:24,50,12.5,25,12.5,0,0,75,25,98.86,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,79.68,0
9:38:24,87.5,12.5,0,0,0,0,100,0,93.04,0
9:38:24,100,0,0,0,0,0,75,25,85.77,0
9:38:24,87.5,12.5,0,0,0,0,100,0,81.32,0
9:38:24,100,0,0,0,0,0,100,0,80.63,0
9:38:24,100,0,0,0,0,0,100,0,95.18,0
9:38:24,100,0,0,0,0,0,100,0,92.77,0
9:38:24,50,25,25,0,0,0,100,0,87.55,0
9:38:24,50,0,50,0,0,0,87.5,12.5,98.52,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,90.01,0
9:38:24,50,37.5,12.5,0,0,0,100,0,99.02,0
9:38:24,50,0,50,0,0,0,87.5,12.5,82.3,0
9:38:24,50,37.5,12.5,0,0,0,100,0,82.44,0
9:38:24,50,0,50,0,0,0,100,0,98.12,0
9:38:24,50,0,50,0,0,0,100,0,99.71,0
9:38:24,50,12.5,37.5,0,0,0,100,0,87.29,0
9:38:24,37.5,0,62.5,0,0,0,75,25,91.02,0
9:38:24,50,25,25,0,0,0,100,0,82.15,0
9:38:24,50,0,50,0,0,0,100,0,86.39,0
9:38:24,50,25,25,0,0,0,100,0,81.61,0
9:38:24,50,0,50,0,0,0,100,0,77.32,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,91.2,0
9:38:24,50,0,50,0,0,0,87.5,12.5,83.7,0
9:38:24,50,12.5,37.5,0,0,0,100,0,78.73,0
9:38:24,50,0,50,0,0,0,87.5,12.5,89.25,0
9:38:24,50,12.5,37.5,0,0,0,100,0,96.3,0
9:38:24,50,0,50,0,0,0,100,0,96.28,0
9:38:24,50,12.5,37.5,0,0,0,100,0,77.44,0
9:38:24,50,0,50,0,0,0,100,0,77.91,0
9:38:24,50,25,25,0,0,0,100,0,86.23,0
9:38:24,50,0,50,0,0,0,100,0,96.24,0
9:38:24,50,12.5,37.5,0,0,0,75,25,91.97,0
9:38:24,50,0,50,0,0,0,100,0,97.14,0
9:38:24,50,25,25,0,0,0,100,0,90.23,0
9:38:24,50,37.5,12.5,0,0,0,87.5,12.5,80.1,0
9:38:24,50,37.5,12.5,0,0,0,100,0,84.98,0
9:38:24,50,25,25,0,0,0,87.5,12.5,88.56,0
9:38:24,50,12.5,25,12.5,0,0,100,0,84.84,0
9:38:24,50,12.5,37.5,0,0,0,100,0,93.65,0
9:38:24,50,0,50,0,0,0,100,0,80.46,0
9:38:24,50,0,37.5,12.5,0,0,100,0,86.82,0
9:38:24,50,0,37.5,12.5,0,0,100,0,94.31,0
9:38:24,50,0,37.5,12.5,0,0,87.5,12.5,86.22,0
9:38:24,50,0,37.5,12.5,0,0,100,0,89.81,0
9:38:24,50,0,50,0,0,0,100,0,95.18,0
9:38:24,50,12.5,37.5,0,0,0,87.5,12.5,77.9,0
9:38:24,50,12.5,37.5,0,0,0,100,0,78.2,0
9:38:24,50,12.5,37.5,0,0,0,100,0,96.43,0
9:38:24,50,0,50,0,0,0,100,0,80.48,0
